hour,ride_count,anomaly
2019-01-29 09:00:00,13756,1
2019-01-29 10:00:00,12311,1
2019-01-29 11:00:00,12179,1
2019-01-29 12:00:00,13045,1
2019-01-29 13:00:00,12728,1
2019-01-29 14:00:00,14181,1
2019-01-29 15:00:00,14927,1
2019-01-29 16:00:00,13471,1
2019-01-29 17:00:00,16131,1
2019-01-29 18:00:00,19439,-1
2019-01-29 19:00:00,17472,1
2019-01-29 20:00:00,15526,1
2019-01-29 21:00:00,15845,1
2019-01-29 22:00:00,12973,1
2019-01-29 23:00:00,7908,1
2019-01-30 00:00:00,4614,1
2019-01-30 01:00:00,2340,1
2019-01-30 02:00:00,1492,1
2019-01-30 03:00:00,1074,1
2019-01-30 04:00:00,1137,1
2019-01-30 05:00:00,2713,1
2019-01-30 06:00:00,7627,1
2019-01-30 07:00:00,13798,1
2019-01-30 08:00:00,16118,1
2019-01-30 09:00:00,14303,1
2019-01-30 10:00:00,12548,1
2019-01-30 11:00:00,12720,1
2019-01-30 12:00:00,13246,1
2019-01-30 13:00:00,13034,1
2019-01-30 14:00:00,14714,1
2019-01-30 15:00:00,16253,1
2019-01-30 16:00:00,13510,1
2019-01-30 17:00:00,16079,1
2019-01-30 18:00:00,20014,-1
2019-01-30 19:00:00,19270,-1
2019-01-30 20:00:00,18023,1
2019-01-30 21:00:00,17907,1
2019-01-30 22:00:00,14871,1
2019-01-30 23:00:00,9369,1
2019-01-31 00:00:00,5151,1
2019-01-31 01:00:00,2657,1
2019-01-31 02:00:00,1559,1
2019-01-31 03:00:00,1105,1
2019-01-31 04:00:00,1263,1
2019-01-31 05:00:00,2868,1
2019-01-31 06:00:00,8364,1
2019-01-31 07:00:00,15161,1
2019-01-31 08:00:00,17092,1
2019-01-31 09:00:00,14773,1
2019-01-31 10:00:00,12726,1
2019-01-31 11:00:00,12645,1
2019-01-31 12:00:00,12837,1
2019-01-31 13:00:00,13132,1
2019-01-31 14:00:00,14623,1
2019-01-31 15:00:00,16044,1
2019-01-31 16:00:00,14866,1
2019-01-31 17:00:00,18181,1
2019-01-31 18:00:00,20151,-1
2019-01-31 19:00:00,18340,1
2019-01-31 20:00:00,17149,1
2019-01-31 21:00:00,17261,1
2019-01-31 22:00:00,15425,1
2019-01-31 23:00:00,11252,1
